Tahun;Bulan;Harga Beras
2018;Januari;10349.91
;Februari;10381.74
;Maret;9892.56
;April;9524.96
;Mei;9523.88
;Juni;9478.05
;Juli;9519.93
;Agustus;9458.07
;September;9572.03
;Oktober;9645.30
;November;9770.97
;Desember;9818.07
2019;Januari;10111.08
;Februari;10007.91
;Maret;9814.53
;April;9464.68
;Mei;9462.05
;Juni;9515.51
;Juli;9519.35
;Agustus;9530.00
;September;9594.39
;Oktober;9659.17
;November;9742.16
;Desember;9838.26
2020;Januari;10032.66
;Februari;10080.80
;Maret;10082.43
;April;10018.19
;Mei;9826.63
;Juni;9918.95
;Juli;9931.71
;Agustus;9962.65
;September;9871.12
;Oktober;9812.90
;November;9714.50
;Desember;9787.86
2021;Januari;9780.19
;Februari;9772.10
;Maret;9606.97
;April;9549.76
;Mei;9627.08
;Juni;9537.16
;Juli;9401.61
;Agustus;9499.36
;September;9455.56
;Oktober;9449.47
;November;9539.29
;Desember;9672.54
2022;Januari;9824.23
;Februari;9826.88
;Maret;9786.63
;April;9576.75
;Mei;9512.63
;Juni;9497.40
;Juli;9628.57
;Agustus;9901.15
;September;10252.31
;Oktober;10402.23
;November;10511.71
;Desember;10954.01
